Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume
1,UiO-66,1.23478,3.82175,8.70307,2920.55,0.590055,0.477861
2,UiO-66-NH2,2.02273,1.27596,7.33306,2383.43,0.41685,0.206083
3,UiO-66-F4,1.6404,1.08214,2.71819,4812.39,0.281035,0.171321
4,UiO-67,0.72259,6.73387,12.96894,3474.86,0.739285,1.02311
5,UiO-67-F2,0.86177,6.64219,12.83075,3058.54,0.72311,0.839102
6,MOF-808,1.2841,10.09089,15.63835,2178.08,0.62626,0.487702
7,PCN-999,0.58974,18.48015,19.43968,3429.84,0.792225,1.34336
8,PCN-1002,1.26921,2.05535,7.4209,3526.25,0.52374,0.41265
9,DUT-67,1.02671,6.62955,14.50667,2708.09,0.699795,0.681588
10,NU-1000,0.48604,28.35169,28.81297,3605.15,0.817445,1.68185
11,MIL-53(Al)-as,1.00403,5.95247,6.51942,3990.86,0.58939,0.587024
12,MIL-96(Al),1.15105,3.62904,8.33017,3579.42,0.559655,0.486214
13,MIL-100(Al),0.67864,8.49713,27.80996,3593.18,0.73762,1.08691
14,MIL-101(Cr),0.45746,13.84071,34.15409,3804.83,0.825575,1.80469
15,MIL-101(Cr)-NH2,1.86975,1.16138,2.33487,4245.26,0.36322,0.194262
16,MIL-100 (Fe),0.75909,8.84616,27.76155,3270.98,0.740035,0.974893
17,MIL-101 (Fe),0.45746,13.84071,34.15409,3804.83,0.825575,1.80469
18,ZIF-7,1.44353,3.12929,4.34999,3930.34,0.444385,0.307846
19,ZIF-8,0.9165,3.57948,11.98309,4995.87,0.63599,0.693935
20,ZIF-L,1.50141,1.07376,2.36447,5397.31,0.347035,0.23114
21,HKUST-1,0.94885,5.21063,11.11888,3706.74,0.68734,0.72439
22,Mn-BTC,1.86613,0.62125,1.49706,4111.54,0.186605,0.099996
23,Ce-BTC,1.28067,6.39825,6.62027,3272.51,0.569755,0.44489
