Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume
1,UiO-66,1.23478,3.82175,8.70307,2920.55,0.590055,0.477861
2,UiO-66-NH2,2.02273,1.27596,7.33306,2383.43,0.41685,0.206083
3,UiO-66-F4,1.6404,1.08214,2.71819,4812.39,0.281035,0.171321
4,UiO-67,0.72259,6.73387,12.96894,3474.86,0.739285,1.02311
5,MOF-801,1.59198,3.43715,7.65165,2470.35,0.55082,0.345996
6,PCN-222,0.48683,30.98849,32.02394,3517.78,0.823395,1.69135
7,PCN-224,0.50916,14.43274,24.14176,3321.71,0.823815,1.618
8,NU-1000,0.48604,28.47867,29.11714,3504.23,0.82091,1.68898
9,MIL-53(Al)-as,1.00403,5.97083,6.57739,3879.52,0.597735,0.595335
10,DUT-4,1.47169,2.58681,2.78656,4299.53,0.361415,0.245579
11,DUT-5,0.65191,11.24448,11.45407,4516.55,0.70697,1.08446
12,ZIF-8,0.9165,3.53498,11.98309,4879,0.64199,0.700482
13,ZIF-67,0.90333,3.4548,12.06336,4633.29,0.61425,0.679987
