Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,EnergyScore
1,2022[Zr][lvt]3[ASR]1,1.07,6.93,9.83,"2,836.58",0.67,0.63,0.37993639
2,2020[Zn][nan]3[ASR]16,1.21,11.01,11.72,"2,699.02",0.67,0.55,0.347601378
3,2023[La][pts]3[ASR]1,1.21,7.5,8.09,"3,001.63",0.62,0.51,0.551152929
4,2017[Co][nan]3[ASR]5,1.38,5.76,7.7,"2,945.36",0.56,0.41,0.228955738
5,2018[Ce][csq]3[ASR]1,0.56,17.74,23.52,"3,476.89",0.81,1.44,0.332494037
6,ic6b02413_si_002_2_FSR_pacman,0.989594,5.93433,13.64653,2799.06,0.70388,0.711282,0.516034985
7,ic6b02413_si_002_2_ASR_pacman,0.989594,5.93433,13.64653,2799.06,0.70388,0.711282,0.528491916
8,ja510525s_si_002_FSR_pacman,1.08186,5.07236,12.04251,2832.29,0.67468,0.623629,0.743175192
9,ja510525s_si_002_ASR_pacman,1.08186,5.07236,12.04251,2832.29,0.67468,0.623629,0.741054864
10,jp8b09178_si_007_FSR_pacman,0.487583,28.06898,29.87417,3411.27,0.8299,1.70207,0.310760668
11,jp8b09178_si_007_ASR_pacman,0.487583,28.06898,29.87417,3411.27,0.8299,1.70207,0.424330771
12,ja8b12530_si_001_3_FSR_pacman,0.534284,29.3367,30.79071,3455.04,0.80936,1.51485,0.366286774
13,ja0c10367_si_003_ASR_pacman,0.634898,29.24165,29.81015,2745.12,0.81732,1.28732,0.905115293
14,c6ce00407e7_ASR_pacman,0.207465,15.95479,33.68342,4888.62,0.90886,4.3808,1
15,c6ce00407e7_FSR_pacman,0.207465,15.95479,33.68342,4888.62,0.90886,4.3808,0.997084548
16,2021[Hf][sqc]3[FSR]1,1.20336,5.24898,9.19603,2701.41,0.66564,0.55315,0.273919958
17,2021[Eu][fcu]3[FSR]1,0.819531,7.21484,13.70548,3102.54,0.7491,0.91406,0.348529022
18,2016[Tb][fcu]3[FSR]1,0.804274,6.94679,13.37735,3091.16,0.74496,0.926251,0.287569573
19,2021[Th][fcu]3[FSR]1,0.931236,7.11938,13.67888,2784.83,0.7428,0.79765,0.269732309
20,2024[Tb][tfz]3[FSR]1,1.01079,8.8743,9.7381,2787.98,0.70794,0.700382,0.289173072
21,2020[Pr][nan]3[FSR]1,1.51667,4.38599,7.70802,3726.02,0.4765,0.314176,0.775245163
22,2020[Cu][nbo]3[FSR]1,0.979363,10.00815,10.63307,4825.08,0.57518,0.5873,0.314206202
23,2016[Zn][nan]2[FSR]1,1.55981,2.28398,3.76708,4473.14,0.39266,0.251735,0
24,2017[Ni][hms]3[FSR]1,1.52424,2.34169,3.06322,4474.05,0.37466,0.245802,0
25,2018[ZnMo][qtz]3[ION]2,2.07929,3.78303,6.0504,2445.48,0.50178,0.241323,0.272091174
26,2018[ZnMo][qtz]3[ION]1,2.07929,3.78303,6.0504,2445.48,0.50178,0.241323,0.15625497
27,2016[La][sql]2[ION]1,2.14744,2.63172,3.24922,3303.47,0.3395,0.158095,0
28,2020[ReAg][pts]3[ION]1,1.87154,2.2934,4.48602,3523.71,0.4365,0.23323,0
29,2019[Cu][sql]2[ION]1,1.44613,2.94298,4.75381,4550.02,0.40488,0.279975,0
30,2017[In][kgd]2[ION]1,1.49968,3.11886,4.87876,4467.34,0.38342,0.255668,0
