name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
2004[Cu][mog]3[FSR]2,5687.616,1.38697,2.64467,4.89477,4487.13,0.45116,0.325285
2006[V][rna]3[FSR]1,1695.58,1.46805,2.79583,5.42081,3393.95,0.53374,0.36357
2007[CuEu][nan]3[FSR]1,1943.82,2.03259,3.85822,4.40951,3183.68,0.36164,0.177921
2007[In][ctn]3[FSR]1,4691.688,0.921299,5.48176,6.56544,3400.11,0.7015,0.761425
2007[Zn][nan]3[FSR]1,3848.432,1.26993,2.40607,4.69949,4035.17,0.54868,0.432056
2007[Zn][nan]3[FSR]2,3848.432,1.2255,3.08135,4.95649,4100.56,0.56162,0.458277
2007[Zn][pcu]3[FSR]3,1539.734,0.595037,8.20898,15.04033,3622.94,0.81102,1.36298
2007[Zn][srs]3[FSR]10,12657.888,1.23149,6.75539,8.59914,3285.95,0.66224,0.537756
2007[Zn][srs]3[FSR]11,12657.888,1.23146,6.77259,8.60968,3273.44,0.66574,0.540609
2007[Zn][srs]3[FSR]12,12657.888,1.22695,7.15145,8.64577,3281.53,0.6664,0.543135
2007[Zn][srs]3[FSR]13,12657.888,1.21042,6.8958,8.47518,3292.62,0.66746,0.551427
2007[Zn][srs]3[FSR]14,12657.888,1.20596,7.09618,8.73075,3290.39,0.66912,0.554843
2007[Zn][srs]3[FSR]15,12657.888,1.23467,7.01593,8.40821,3269.23,0.66678,0.540048
2007[Zn][srs]3[FSR]16,12657.888,1.22175,7.06521,8.38192,3280.51,0.66756,0.546398
2007[Zn][srs]3[FSR]9,12657.888,1.22499,7.83619,8.53797,3284.99,0.66516,0.542994
2008[Cd][nbo]3[FSR]1,5066.928,0.998925,9.46658,11.28354,4536.83,0.59102,0.591656
2008[Co][sql]2[FSR]1,2113.08,1.5197,2.42717,4.78145,4255.89,0.39452,0.259603
2008[Cu][pcu]3[FSR]1,2831.4,1.27729,1.99329,5.16617,4294.8,0.50322,0.393976
2008[Cu][sql]2[FSR]1,743.624,1.16297,2.67836,4.08026,4774.1,0.5474,0.470693
2009[Zn][nan]3[FSR]3,1586.828,1.24197,4.87553,5.09137,4838.78,0.47878,0.385499
2009[Zn][pcu]3[FSR]2,3819.376,1.46944,2.85127,6.3573,3484.21,0.57726,0.392844
2010[Cr][bpq]3[FSR]1,464.222,1.02131,7.08769,7.24753,3608.33,0.62486,0.611822
2010[Fe][bpq]3[FSR]1,943.84,1.56689,2.7165,2.85375,3562.94,0.43346,0.276637
2010[Ga][ctn]3[FSR]2,1656.936,0.866561,5.32936,5.69531,3920.29,0.68364,0.788912
2010[Zn][pts]3[FSR]1,1182.032,1.25542,3.16837,3.79393,4379.3,0.55184,0.439567
2011[Cu][pcu]3[FSR]1,1599.396,0.867522,5.81934,7.01913,4483.41,0.6451,0.743613
2011[V][sra]3[FSR]2,871.9,1.52609,2.60698,4.08067,3545.5,0.49462,0.32411
2011[Zn][pcu]3[FSR]8,1515.542,0.599586,7.88905,14.89039,3545.4,0.81144,1.35333
2011[Zn][rob]3[FSR]2,3197.496,1.2762,2.91819,4.62786,4561.49,0.479,0.375332
2011[Zn][sod]3[FSR]2,1365.456,0.924167,3.46146,11.81446,4856.22,0.64066,0.693229
2012[Cd][uoc]3[FSR]1,4695.064,1.1024,5.2147,6.11629,4886.35,0.5466,0.495829
2012[Co][dia]3[FSR]3,958.826,1.22723,3.40774,4.26728,5065.03,0.44708,0.364299
2012[Co][sqp]3[FSR]2,2152.784,1.47192,3.85484,5.16079,3911.05,0.43964,0.298685
2012[Zn][acs]3[FSR]4,400.862,1.76481,2.40897,2.9024,3817.1,0.43124,0.244355
2012[Zn][acs]3[FSR]5,400.862,1.77399,2.3898,2.87955,3805.85,0.4288,0.241715
2012[Zn][acs]3[FSR]6,400.862,1.7796,2.37503,2.8652,3797.21,0.42738,0.240155
2012[Zn][bcs]3[FSR]1,5274.76,1.0177,3.47534,5.57526,4341.29,0.58564,0.575452
2012[Zn][nan]3[FSR]7,1809.762,1.07305,9.95646,10.1321,4641.45,0.55894,0.520887
2012[Zn][nia]3[FSR]1,1618.824,1.15816,6.51869,7.44079,4421.04,0.51912,0.448227
2012[Zn][sql]2[FSR]1,845.442,1.20165,3.47467,4.33768,4454.25,0.50302,0.418606
2013[Cd][nan]3[FSR]5,2900.576,1.47629,3.87313,5.4831,4304.7,0.43814,0.296784
2013[Ce][kgd]2[FSR]1,632.484,1.61633,2.19414,3.9258,3709.43,0.44284,0.273978
2013[CrZn][lon]3[FSR]1,4659.156,0.692894,8.85366,12.33458,3951.1,0.74782,1.07927
2013[Cu][sqc]2[FSR]1,5127.784,1.93246,3.30833,4.41502,3653.69,0.37534,0.194229
2013[La][nan]3[FSR]2,6211.888,1.01589,4.84052,7.71573,4361.96,0.59146,0.582207
2013[Mn][nan]3[FSR]2,2096.44,1.09749,3.80539,4.57307,3803.64,0.59176,0.539193
2013[Nd][kgd]2[FSR]1,632.484,1.64278,2.24876,3.86166,3617.3,0.44132,0.268643
2013[Sm][kgd]2[FSR]1,632.484,1.68725,2.25691,3.81045,3509.69,0.43718,0.259108
2013[Y][nan]3[FSR]1,2550.324,0.891127,5.02868,7.35584,4613.43,0.61772,0.693189
2013[ZnMn][nan]3[FSR]1,1058.456,0.817121,5.01687,8.38928,4142.49,0.6774,0.829009
2013[Zn][nan]3[FSR]2,1964.216,1.38751,3.54033,5.86369,3805.67,0.52702,0.379831
2013[Zn][nan]3[FSR]3,2212.484,1.26745,3.26241,4.56202,4230.97,0.53402,0.421336
2013[Zn][nan]3[FSR]8,3726.24,1.12902,6.07675,7.43364,3500.78,0.64186,0.568511
2013[Zn][nan]3[FSR]9,28518.984,0.396669,19.56277,24.50866,4135.4,0.85256,2.1493
2013[Zn][pcu]3[FSR]3,5018.208,0.928568,5.55694,7.27195,4532.83,0.62282,0.670732
2014[Ag][ths]3[FSR]1,1765.596,1.11065,4.37971,6.03937,4466.42,0.56394,0.507757
2014[Cd][rtl]3[FSR]1,3486.04,1.02287,3.15001,7.73666,5020.67,0.55076,0.538447
2014[Co][ant]3[FSR]1,3076.912,0.952419,4.67589,7.47916,3662.7,0.64218,0.674262
2014[Co][dmc]3[FSR]1,1048.456,1.18083,3.3044,4.59157,3966.1,0.53778,0.455426
2014[Co][nan]2[FSR]2,2434.496,1.16449,4.60055,5.4591,5342.2,0.46054,0.395488
2014[Co][nan]3[FSR]10,3593.344,1.4088,2.20537,4.52036,3787.93,0.47394,0.336413
2014[Co][sql]2[FSR]1,3475.478,1.32509,4.32552,5.40194,4030.19,0.49064,0.370268
2014[CuNd][nan]3[FSR]1,9123.168,1.63403,5.73185,6.32079,3730.58,0.40214,0.246103
2014[Cu][dia]3[FSR]2,1759.512,1.31892,4.18951,4.54582,4574.02,0.46508,0.352623
