name,UnitCell_MW_g_mol,Density_g_cm3,PLD_A,LCD_A,GSA_m2_g,VoidFraction,PoreVolume_cm3_g
10853_2020_5211_MOESM2_ESM_ASR_pacman,1363.282,2.16974,3.05972,4.66272,3049.65,0.35642,0.164269
10853_2020_5211_MOESM2_ESM_FSR_pacman,1395.28,2.19713,3.01004,3.93796,3080.84,0.34412,0.156622
10876_2019_1683_MOESM2_ESM_1_ASR_pacman,1356.688,1.35621,2.58732,4.32227,3908.72,0.47254,0.348426
10876_2019_1683_MOESM2_ESM_1_FSR_pacman,1356.688,1.35621,2.58732,4.32227,3908.72,0.47254,0.348426
10876_2019_1683_MOESM2_ESM_2_ASR_pacman,2677.384,1.41817,3.52505,4.1124,4046.09,0.42196,0.297538
10876_2019_1683_MOESM2_ESM_2_FSR_pacman,2749.444,1.45561,2.55504,4.12056,4078.34,0.40552,0.27859
10876_2020_1786_MOESM2_ESM_ASR_pacman,4397.088,1.60014,2.57396,4.04136,3953.06,0.41952,0.262177
10876_2020_1786_MOESM2_ESM_FSR_pacman,4397.088,1.60014,2.57396,4.04136,3953.06,0.41952,0.262177
10876_2020_1817_MOESM2_ESM_FSR_pacman,3068.116,2.50848,2.47593,4.18224,2697.89,0.41178,0.164155
10965_2019_2002_MOESM1_ESM_ASR_pacman,2111.16,1.09671,3.99119,5.8133,4215.71,0.58758,0.535766
10965_2019_2002_MOESM1_ESM_FSR_pacman,2327.34,1.19406,2.99247,5.8133,4633.62,0.53322,0.446562
11426_2023_1573_MOESM10_ESM_ASR_pacman,1092.75,1.42479,4.33655,5.95055,2954.35,0.5165,0.362509
11426_2023_1573_MOESM10_ESM_FSR_pacman,1092.75,1.42479,4.33655,5.95055,2954.35,0.5165,0.362509
11426_2023_1573_MOESM14_ESM_ASR_pacman,1092.75,1.32529,4.59739,6.26419,3253.96,0.54014,0.407563
11426_2023_1573_MOESM14_ESM_FSR_pacman,1092.75,1.32529,4.59739,6.26419,3253.96,0.54014,0.407563
11426_2023_1573_MOESM15_ESM_ASR_pacman,1412.366,2.50416,3.67285,5.85929,1791.99,0.45434,0.181434
11426_2023_1573_MOESM15_ESM_FSR_pacman,1412.366,2.50416,3.67285,5.85929,1791.99,0.45434,0.181434
11426_2023_1573_MOESM16_ESM_ASR_pacman,1412.366,2.32973,4.10378,6.00612,1945.45,0.48536,0.208333
11426_2023_1573_MOESM16_ESM_FSR_pacman,1412.366,2.32973,4.10378,6.00612,1945.45,0.48536,0.208333
11426_2023_1573_MOESM17_ESM_ASR_pacman,677.53,2.11258,2.8626,3.89314,2374.88,0.36098,0.170872
11426_2023_1573_MOESM17_ESM_FSR_pacman,677.53,2.11258,2.8626,3.89314,2374.88,0.36098,0.170872
11426_2023_1573_MOESM18_ESM_ASR_pacman,677.53,1.89463,3.16543,4.30444,2800.59,0.39042,0.206067
11426_2023_1573_MOESM18_ESM_FSR_pacman,677.53,1.89463,3.16543,4.30444,2800.59,0.39042,0.206067
11426_2023_1573_MOESM19_ESM_ASR_pacman,1238.94,1.8057,2.77358,6.18367,2701.39,0.41934,0.232231
11426_2023_1573_MOESM19_ESM_FSR_pacman,1238.94,1.8057,2.77358,6.18367,2701.39,0.41934,0.232231
11426_2023_1573_MOESM20_ESM_ASR_pacman,1238.94,1.76705,2.8308,6.139,2799.15,0.42472,0.240356
11426_2023_1573_MOESM20_ESM_FSR_pacman,1238.94,1.76705,2.8308,6.139,2799.15,0.42472,0.240356
11426_2023_1573_MOESM21_ESM_ASR_pacman,1092.75,1.32301,4.59943,7.32232,3056.69,0.5588,0.422372
11426_2023_1573_MOESM21_ESM_FSR_pacman,1092.75,1.32301,4.59943,7.32232,3056.69,0.5588,0.422372
13738_2020_1931_MOESM1_ESM_ASR_pacman,4618.222,1.29478,9.10459,10.51625,3349.42,0.52422,0.404872
13738_2020_1931_MOESM1_ESM_FSR_pacman,4762.342,1.32943,9.10459,10.51625,3363.22,0.51032,0.383864
41467_2015_BFncomms7350_MOESM943_ESM_2_ASR_pacman,4879.358,1.66496,4.77393,5.98203,3429.49,0.49582,0.297796
41467_2015_BFncomms7350_MOESM943_ESM_2_FSR_pacman,4879.358,1.66496,4.77393,5.98203,3429.49,0.49582,0.297796
41467_2015_BFncomms7350_MOESM943_ESM_5_ASR_pacman,4991.222,2.074,2.30133,3.04864,3387.28,0.37726,0.1819
41467_2015_BFncomms7350_MOESM943_ESM_5_FSR_pacman,4991.222,2.074,2.30133,3.04864,3387.28,0.37726,0.1819
41467_2017_BFncomms15369_MOESM422_ESM_1_ASR_pacman,7885.904,3.12322,3.4403,4.67577,1749.19,0.41388,0.132517
41467_2017_BFncomms15369_MOESM422_ESM_1_FSR_pacman,7885.904,3.12322,3.4403,4.67577,1749.19,0.41388,0.132517
41467_2017_BFncomms15369_MOESM422_ESM_3_ASR_pacman,4954.864,1.2225,5.42886,6.39184,3467.3,0.5955,0.487116
41467_2017_BFncomms15369_MOESM422_ESM_3_FSR_pacman,4954.864,1.2225,5.42886,6.39184,3467.3,0.5955,0.487116
41557_2017_BFnchem2718_MOESM486_ESM_ASR_pacman,3580.432,2.01125,2.96294,4.41339,3199.44,0.43568,0.216621
41557_2017_BFnchem2718_MOESM486_ESM_FSR_pacman,3580.432,2.01125,2.96294,4.41339,3199.44,0.43568,0.216621
41557_2017_BFnchem2718_MOESM487_ESM_ASR_pacman,1784.168,1.85015,3.06294,4.39267,3489.03,0.4428,0.239332
