Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
283,2017[Al][nan]3[ASR]4,1.06466,6.4311,8.33017,3482.01,0.5935,0.557457,2901.378,0.3919578435699904,-1
910,2020[InTb][nan]3[ASR]1,1.14162,6.29302,8.80596,3370.99,0.6087,0.533189,3130.976,0.3862119723535109,-1
1016,2020[Zr][sql]2[ASR]1,1.07971,6.2937,9.09416,3317.4,0.6271,0.580802,3490.41,0.3759328495944292,-1
857,2020[Cu][eea]3[ASR]1,1.17921,5.0948,7.83209,3450.96,0.6026,0.511018,1467.894,0.3658337201911426,-1
621,2019[Cu][gar]3[ASR]1,1.25702,5.79853,8.37218,3322.48,0.6137,0.488216,11575.32,0.29050314932252164,-1
162,2015[PrCo][nan]3[ASR]1,1.04456,5.01053,7.73894,3708.49,0.6107,0.584648,3142.012,0.2639402069197594,-1
834,2020[Co][nan]3[ASR]6,1.03447,6.11171,8.05301,3697.05,0.6192,0.598565,1084.342,0.23650992361304546,-1
1100,2021[Nd][lvt]3[ASR]1,1.04871,5.16224,7.87822,3438.31,0.65,0.619807,2857.68,0.22288259658256848,-1
901,2020[Fe][pts]3[ASR]1,1.20742,3.89191,7.09034,3368.85,0.5722,0.473904,5361.384,0.21946952617922655,-1
749,2019[Zn][nan]3[ASR]2,1.11124,5.56812,7.57136,3638.48,0.6306,0.567472,3596.112,0.21128570031107685,-1
1080,2021[Eu][lvt]3[ASR]1,1.08296,5.2026,8.09843,3337.7,0.6516,0.601687,2036.696,0.21117017924187031,-1
610,2019[Co][nan]3[ASR]5,1.1763,3.93981,6.72981,3701.87,0.5521,0.469352,3757.22,0.20967231729850155,-1
725,2019[V][bpq]3[ASR]2,1.2417,4.68637,6.54051,3660.13,0.5606,0.451477,1196.216,0.20906486912384636,-1
939,2020[Pr][nan]3[ASR]2,1.40849,4.38599,8.99898,3484.49,0.5296,0.376006,3938.544,0.20279858485233326,-1
835,2020[Co][nan]3[ASR]7,1.00593,6.65179,8.44237,3692.87,0.6271,0.623401,1084.342,0.19894398297924099,-1
1060,2021[Cu][nan]3[ASR]2,1.26535,4.629,9.35783,3774.78,0.5309,0.419569,4155.336,0.1979641857998029,-1
1177,2022[In][kgm]2[ASR]1,1.17906,3.18144,8.70658,3713.87,0.6008,0.509559,2670.156,0.19348680285513353,-1
1044,2021[Co][nan]3[ASR]3,1.07268,7.53646,8.28628,3366.72,0.6223,0.580137,3504.396,0.1874085866908004,-1
715,2019[Sm][nan]3[ASR]2,1.08613,4.96448,7.0252,3467.21,0.6367,0.586209,1252.964,0.1847900608320341,-1
1057,2021[Cu][djg]3[ASR]1,1.17634,4.10058,6.97784,3759.68,0.5772,0.490676,2032.408,0.18331221901027028,-1
897,2020[Fe][hcb]2[ASR]1,1.26567,6.59237,7.94542,3301.94,0.593,0.468528,3922.132,0.18054913142026408,-1
713,2019[Pr][nan]3[ASR]1,1.11647,4.77676,6.90143,3411.95,0.6304,0.564635,1252.964,0.18030975144043282,-1
953,2020[V][nan]3[ASR]1,1.11033,6.96931,7.09076,3445.48,0.5939,0.534887,924.228,0.17734972125315984,-1
93,2013[Zn][nan]3[ASR]8,1.12902,6.07675,7.43364,3501.21,0.6428,0.569343,3726.24,0.17608961037872994,-1
414,2017[V][nan]3[ASR]1,1.11073,7.07801,7.27667,3408.76,0.5912,0.532264,924.228,0.17516821314694475,-1
954,2020[V][nan]3[ASR]2,1.11183,6.98626,7.09203,3441.43,0.5946,0.534793,924.228,0.17353665032687182,-1
662,2019[Eu][nan]3[ASR]7,1.33916,4.93989,7.02054,3448.64,0.5412,0.404133,1940.956,0.17070081916685886,-1
1276,2023[U][nan]2[ASR]1,1.06552,5.2856,7.98544,3435.19,0.6611,0.620449,4084.404,0.16858632035651588,-1
140,2015[CeCo][nan]3[ASR]1,1.03321,5.06278,7.51768,3789.31,0.6068,0.587294,3142.012,0.16667904602915584,-1
659,2019[Eu][nan]3[ASR]3,1.11531,4.66962,6.54031,3460.23,0.6257,0.561008,3721.64,0.15778362911124688,-1
619,2019[Co][sxb]3[ASR]1,1.20856,4.8172,5.758,3502.06,0.5589,0.462451,4832.768,0.1506560679262101,-1
698,2019[Nd][nan]3[ASR]1,1.09106,4.79,6.72656,3489.57,0.6345,0.581545,2505.928,0.14955849434434398,-1
308,2017[Cd][pcu]3[ASR]1,1.22425,3.60205,6.95567,3669.41,0.5997,0.48985,3189.908,0.14455185130930914,-1
1019,2021[Al][nan]3[ASR]23,1.04921,6.82522,6.9967,3664.58,0.5837,0.556322,720.46,0.14199021704081716,-1
548,2018[Zr][nan]3[ASR]1,0.847475,5.25872,12.90854,3510.67,0.6856,0.808991,17797.752,0.14126668723392655,-1
1206,2022[Zn][pts]3[ASR]2,1.14329,5.59193,6.67531,3572.42,0.6294,0.550516,2785.504,0.13798749409557587,-1
956,2020[Y][mog]3[ASR]1,1.25566,5.22994,5.84435,3560.89,0.5617,0.447334,498.276,0.13557973101193355,-1
1210,2022[Zn][pts]3[ASR]6,1.14226,5.60544,6.66919,3575.76,0.6298,0.551365,2785.504,0.1336873034060524,-1
1209,2022[Zn][pts]3[ASR]5,1.13981,5.63155,6.67811,3576.85,0.6303,0.552987,2785.504,0.13176895507287334,-1
1208,2022[Zn][pts]3[ASR]4,1.14153,5.61956,6.67456,3580.34,0.6299,0.551804,2785.504,0.13155833397111394,-1
650,2019[Dy][nan]3[ASR]1,1.14845,4.73691,6.69524,3344.32,0.6276,0.546477,2505.928,0.12643940627217454,-1
1205,2022[Zn][pts]3[ASR]1,1.13491,5.63995,6.69644,3591.04,0.6315,0.556431,2785.504,0.12275529978910171,-1
460,2018[Ag][sql]2[ASR]2,1.26516,5.30391,6.92442,3438.7,0.6354,0.502229,1073.46,0.12134370454033316,-1
11,0000[CrMn][qtz]3[ASR]1,1.30832,4.72231,5.82674,3512.52,0.5599,0.427952,4122.228,0.11968978865370161,-1
461,2018[Ag][sql]2[ASR]3,1.25975,5.36051,6.95497,3436.09,0.6371,0.505736,1073.46,0.11909074989698887,-1
955,2020[V][nan]3[ASR]3,1.13183,7.00357,7.18306,3311.52,0.6022,0.53206,1840.392,0.1176472328581557,-1
1092,2021[La][kgd]2[ASR]1,1.2855,5.11347,5.8566,3627.62,0.5582,0.434228,1924.48,0.11458147162853116,-1
462,2018[Ag][sql]2[ASR]4,1.25216,5.43218,6.98692,3438.62,0.6401,0.511197,1073.46,0.11185917258266542,-1
718,2019[Tb][nan]3[ASR]2,1.16947,4.32422,6.15169,3382.73,0.6094,0.52109,3777.328,0.10969344381947543,-1
999,2020[Zn][sql]2[ASR]1,1.34828,6.80739,7.97035,3632.46,0.5667,0.420313,4615.696,0.10561124910566733,-1
549,2018[Zr][nan]3[ASR]2,0.833978,5.34156,13.22909,3492.44,0.6897,0.827,17797.752,0.10470074759044046,-1
151,2015[DyCo][hcb]2[ASR]1,1.35485,6.24338,7.122,3454.83,0.5514,0.406984,554.245,0.10436220444339384,-1
719,2019[Tb][nan]3[ASR]3,1.1567,4.44398,5.90587,3476.94,0.613,0.529958,3777.328,0.10194766613949646,-1
925,2020[Mn][ant]3[ASR]1,1.02954,3.98526,7.51241,3853.44,0.5909,0.573947,2052.712,0.09977224150937225,-1
1099,2021[Nd][kgd]2[ASR]1,1.32918,5.06489,5.88282,3486.3,0.5565,0.418678,1368.86,0.09972750739570024,-1
463,2018[Ag][sql]2[ASR]5,1.24315,5.52972,7.05962,3439.58,0.6449,0.518765,1073.46,0.0996140516568289,-1
668,2019[Gd][nan]3[ASR]1,1.15112,4.77618,6.72549,3317.65,0.6316,0.548684,3825.368,0.09782188146293258,-1
464,2018[Ag][sql]2[ASR]6,1.23333,5.58913,7.14563,3435.57,0.6479,0.525328,1073.46,0.09767154643931342,-1
52,2010[Cr][bpq]3[ASR]1,1.02131,7.08769,7.24753,3618.12,0.6219,0.608923,464.222,0.09714978895610571,-1
580,2019[Cd][nan]3[ASR]6,1.4561,4.57345,6.38666,3495.56,0.5511,0.378476,3990.632,0.0946083874361836,-1
1091,2021[La][fsc]3[ASR]1,1.2986,4.75335,6.17716,3726.3,0.5397,0.415601,1854.636,0.09124262362316138,-1
694,2019[Mn][bpq]3[ASR]1,1.18954,5.02932,5.3412,3621.72,0.5568,0.46808,408.142,0.09117292139279876,-1
679,2019[La][nan]3[ASR]1,1.16272,4.79446,6.74457,3284.0,0.6276,0.539771,2505.928,0.08850754516184978,-1
155,2015[HoCo][hcb]2[ASR]1,1.37876,6.07565,7.11092,3421.75,0.5484,0.397749,719.175,0.08797925519541039,-1
1332,2024[Sm][sql]2[ASR]1,1.40987,5.78192,7.19965,3318.33,0.5681,0.402946,920.614,0.08712056112835853,-1
1310,2024[Cu][nan]3[ASR]1,1.03168,5.95029,7.23539,3612.84,0.6488,0.628878,2888.092,0.08394959291746495,-1
1207,2022[Zn][pts]3[ASR]3,1.14276,5.61007,6.66672,3570.78,0.6403,0.56031,2785.504,0.08277068292126089,-1
1085,2021[Fe][bpq]3[ASR]1,1.17541,4.92571,5.3529,3657.0,0.5735,0.487913,473.936,0.08276083753865038,-1
470,2018[Cd][nan]3[ASR]4,1.28977,3.02021,6.28321,3562.92,0.5539,0.429456,1602.548,0.0809506034459666,-1
356,2017[Cu][nan]3[ASR]8,0.979009,4.96481,9.41088,3574.2,0.6815,0.696112,2481.62,0.07996735106062758,-1
