Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
79,c8ce00008e2_5_FSR_pacman,1.53156,2.6275,5.15579,4141,0.42076,0.274727,4946.848,0.148365012,1
10,am0c14648_si_002_ion_pacman,1.38842,2.8095,6.27254,4320.08,0.4801,0.345788,2653.493,0.146149732,1
76,c8ce00008e2_2_FSR_pacman,1.4658,2.54839,4.8381,4208.47,0.44506,0.303629,4891.16,0.145774355,1
230,ic801404p_si_001_FSR_pacman,1.28047,2.53121,4.93564,4665.44,0.44772,0.349652,1412.85,0.14486325,1
33,c5ce02367j2_2_ion_pacman,1.41836,3.48267,6.3908,4610.96,0.44308,0.312389,14107.096,0.144747871,1
98,c8ra02809e2_ion_pacman,1.50505,2.95617,4.03544,4532.4,0.39272,0.260936,7148.336,0.144701267,1
72,c8ce00008e2_10_FSR_pacman,1.51647,2.75625,5.8079,4013.92,0.44412,0.292865,3675.448,0.144109714,1
32,c5ce02367j2_1_FSR_pacman,1.45774,3.75882,6.31572,4186.24,0.45972,0.315364,19210.224,0.143900941,1
82,c8ce00008e2_8_FSR_pacman,1.50135,2.76803,5.43321,4055.7,0.4458,0.296932,3675.448,0.143594334,1
83,c8ce00008e2_9_FSR_pacman,1.42991,3.04127,4.87737,4252.21,0.45618,0.319027,4690.056,0.143400512,1
35,c5ce02367j2_3_FSR_pacman,1.49606,3.8256,6.28768,4071.5,0.45506,0.304173,14124.624,0.14096521,1
73,c8ce00008e2_11_FSR_pacman,1.4088,3.15704,5.12266,4185.49,0.47382,0.336328,3578.816,0.138166863,1
78,c8ce00008e2_4_FSR_pacman,1.40461,3.18151,5.1145,4194.31,0.47458,0.337873,3578.816,0.138008062,1
74,c8ce00008e2_13_FSR_pacman,1.50305,3.50956,5.19127,4019.83,0.44784,0.297955,4994.888,0.137054497,1
176,d0ce01197e2_1_FSR_pacman,1.71701,3.01811,4.49138,4013.7,0.40994,0.238752,1450.474,0.135233276,1
80,c8ce00008e2_6_FSR_pacman,1.48524,3.18765,4.88364,4042.3,0.4588,0.308907,4850.216,0.135198267,1
81,c8ce00008e2_7_FSR_pacman,1.4109,3.47193,5.51636,4087.69,0.4801,0.340278,3578.816,0.135155592,1
191,d1dt04077d2_FSR_pacman,1.36859,3.67834,4.0557,4516.03,0.44632,0.326116,1093.722,0.13514636,1
199,d2ce01552h2_2_FSR_pacman,1.64929,3.41696,5.61927,3884.58,0.40082,0.243025,6587.104,0.133657151,1
84,c8ce01015c2_17_ion_pacman,1.65586,2.27225,4.79127,3926.42,0.43264,0.261279,1762.414,0.13353349,1
75,c8ce00008e2_1_FSR_pacman,1.4001,3.1096,4.36812,4219.87,0.47456,0.338948,4690.056,0.132249983,1
99,c8ta09973a2_1_ASR_pacman,1.43929,3.42558,9.01028,3341.98,0.51182,0.355607,9521.364,0.132166061,1
100,c8ta09973a2_1_FSR_pacman,1.43929,3.42558,9.01028,3341.98,0.51182,0.355607,9521.364,0.132166061,1
9,am0c05512_si_001_FSR_pacman,1.14197,3.88073,10.07113,3167.9,0.5544,0.485478,3301.932,0.131365439,1
8,am0c05512_si_001_ASR_pacman,1.14197,3.88073,10.07113,3167.9,0.5544,0.485478,3301.932,0.131365439,1
77,c8ce00008e2_3_FSR_pacman,1.40033,3.54496,5.37584,4048.45,0.48868,0.348975,1789.408,0.129727753,1
52,c7ce01379e2_1_ion_pacman,1.35399,4.69557,6.06575,4424.58,0.48224,0.356163,1918.636,0.127513824,1
193,d1qm00211b2_2_FSR_pacman,1.29765,2.91736,5.97489,3795.09,0.49536,0.381738,5045.93,0.127278013,1
229,ic801404p_si_001_ASR_pacman,1.21516,2.53121,4.93564,4819.87,0.4709,0.38752,1340.79,0.127068419,1
97,c8ra02602e2_ion_pacman,1.37121,3.09489,5.05337,3998.47,0.4909,0.358005,2515.33,0.126328514,1
194,d1qm00211b2_3_FSR_pacman,1.30573,3.13696,5.85566,3758.87,0.49728,0.380844,5045.93,0.124733484,1
36,c5dt00480b2_3_ion_pacman,1.41256,4.51007,4.85912,4682.98,0.4159,0.294431,1092.816,0.121936529,1
195,d1qm00211b2_6_ion_pacman,1.54803,3.08545,6.01003,3458.21,0.462,0.298443,6126.984,0.121889686,1
251,ja7b01764_si_006_ASR_pacman,1.31986,4.69507,5.66865,4653.37,0.4636,0.35125,2342.236,0.12178256,1
252,ja7b01764_si_006_FSR_pacman,1.31986,4.69507,5.66865,4653.37,0.4636,0.35125,2342.236,0.12178256,1
233,ja0c02594_si_001_ASR_pacman,1.46358,2.95278,3.95127,4004.17,0.47128,0.322004,2520.088,0.121340119,1
234,ja0c02594_si_001_FSR_pacman,1.46358,2.95278,3.95127,4004.17,0.47128,0.322004,2520.088,0.121340119,1
166,cm9b03453_si_003_ion_pacman,1.39296,4.3034,6.00825,3922.27,0.50848,0.365037,2022.468,0.119946235,1
96,c8qi01394b2_1_FSR_pacman,1.73008,2.33772,4.05263,3786.21,0.43152,0.249422,1921.716,0.119014756,1
135,c9ta04842a2_ASR_pacman,1.15531,3.6762,5.37388,4585.92,0.5182,0.448536,2411.242,0.118735795,1
57,c7mh00716g2_ASR_pacman,1.31389,3.8927,4.57186,3995.46,0.49044,0.373274,2013.012,0.118472436,1
58,c7mh00716g2_FSR_pacman,1.31389,3.8927,4.57186,3995.46,0.49044,0.373274,2013.012,0.118472436,1
3,am0c02121_si_002_2_ion_pacman,1.6106,3.77609,5.08345,3608.82,0.4422,0.274556,1564.772,0.117775938,1
16,am8b20450_si_007_FSR_pacman,1.50492,5.12156,7.24861,3110.04,0.50484,0.335461,1199.946,0.117139227,1
207,d3ce00302g2_2_ASR_pacman,1.46491,3.8679,4.65983,3933.14,0.4863,0.331967,2891.496,0.116815998,1
208,d3ce00302g2_2_FSR_pacman,1.46491,3.8679,4.65983,3933.14,0.4863,0.331967,2891.496,0.116815998,1
198,d2ce00268j2_2_ASR_pacman,1.22697,5.04954,9.06027,4189.29,0.55488,0.452235,5968.792,0.11608477,1
188,d1cc03431f2_1_FSR_pacman,1.32243,2.64707,4.86189,3850.5,0.49786,0.376473,3768.128,0.115904942,1
53,c7ce01438d2_2_ASR_pacman,1.34214,3.60301,10.67679,3860.8,0.56904,0.423981,2013.096,0.115860399,1
54,c7ce01438d2_2_FSR_pacman,1.34214,3.60301,10.67679,3860.8,0.56904,0.423981,2013.096,0.115860399,1
236,ja0c05286_si_004_ion_pacman,1.08208,3.94376,7.40244,4738.88,0.52498,0.485157,3219.59,0.115210338,1
2,am0c02121_si_002_1_ion_pacman,1.58823,4.40283,5.38384,3600.39,0.44992,0.283284,1108.88,0.114785307,1
101,c8ta10610j2_3_ASR_pacman,1.1438,3.58019,4.93416,4334.45,0.52544,0.459382,1361.068,0.114753382,1
102,c8ta10610j2_3_FSR_pacman,1.1438,3.58019,4.93416,4334.45,0.52544,0.459382,1361.068,0.114753382,1
175,d0ce01197e2_1_ASR_pacman,1.54641,4.37879,5.62379,3750.57,0.4936,0.319191,1306.354,0.114031507,1
285,ja9b02417_si_003_FSR_pacman,1.06573,3.18488,8.34369,4006.22,0.56734,0.532347,2355.06,0.113953346,1
284,ja9b02417_si_003_ASR_pacman,1.06573,3.18488,8.34369,4006.22,0.56734,0.532347,2355.06,0.113953346,1
5,am0c02121_si_002_4_ion_pacman,1.61681,4.18293,5.25094,3555.93,0.4504,0.278573,1585.655,0.113780564,1
30,c5ce02140e2_4_FSR_pacman,1.55425,3.53082,4.66666,3672.06,0.46986,0.302307,754.578,0.113744631,1
95,c8qi01394b2_1_ASR_pacman,1.65303,2.67601,4.05263,3767.3,0.4581,0.277128,1793.724,0.113494252,1
167,d0cc03472j2_2_ASR_pacman,1.5636,5.40258,6.81956,3688.02,0.45864,0.293323,2366.396,0.113328242,1
168,d0cc03472j2_2_FSR_pacman,1.5636,5.40258,6.81956,3688.02,0.45864,0.293323,2366.396,0.113328242,1
4,am0c02121_si_002_3_ion_pacman,1.65838,3.01201,4.55854,3551.15,0.43438,0.261931,1108.88,0.112878886,1
15,am8b20450_si_006_FSR_pacman,1.38373,5.87507,7.89672,2922.56,0.54772,0.395829,1103.952,0.111571232,1
14,am8b20450_si_006_ASR_pacman,1.38373,5.87507,7.89672,2922.56,0.54772,0.395829,1103.952,0.111571232,1
148,cg501279y_si_002_2_ion_pacman,1.43606,5.58315,6.53052,4378.09,0.4099,0.285433,2951.614,0.111368492,1
92,c8nj05139a2_3_FSR_pacman,1.09776,3.64606,6.22976,4543.44,0.54634,0.497687,5787.032,0.110667067,1
7,am0c02121_si_002_6_ion_pacman,1.68869,3.64625,5.19447,3412.62,0.43628,0.258355,1108.88,0.110537991,1
20,c4ra13058h2_2_FSR_pacman,1.66772,3.29156,4.8373,3454.49,0.4307,0.258256,1709.68,0.110416844,1
19,c4ra13058h2_2_ASR_pacman,1.66772,3.29156,4.8373,3454.49,0.4307,0.258256,1709.68,0.110416844,1
180,d0dt00933d2_2_FSR_pacman,1.29623,3.86702,4.52349,4915.18,0.44408,0.342594,1979.248,0.109183337,1
170,d0cc03472j2_4_FSR_pacman,1.50281,5.46708,6.3923,3547.18,0.49628,0.330235,4428.24,0.107406489,1
169,d0cc03472j2_4_ASR_pacman,1.50281,5.46708,6.3923,3547.18,0.49628,0.330235,4428.24,0.107406489,1
6,am0c02121_si_002_5_ion_pacman,1.65346,4.15422,4.95473,3452.04,0.44392,0.26848,1108.88,0.107041952,1
200,d2dt00789d2_ASR_pacman,1.56259,2.8271,6.03866,3654.05,0.52292,0.334649,877.948,0.106418881,1
201,d2dt00789d2_FSR_pacman,1.56259,2.8271,6.03866,3654.05,0.52292,0.334649,877.948,0.106418881,1
149,cg501279y_si_002_5_ion_pacman,1.40745,5.82012,6.69705,4412.96,0.415,0.29486,2952.574,0.105732228,1
56,c7dt03363j2_2_FSR_pacman,1.21841,4.1057,5.61694,4258.16,0.54732,0.449208,1418.412,0.10512824,1
237,ja0c05286_si_008_ion_pacman,1.0718,4.35177,7.04479,4787.36,0.52674,0.491455,3219.59,0.104327805,1
182,d0dt03952g2_1_FSR_pacman,1.10872,3.71447,5.93891,4914.93,0.50028,0.451221,861.894,0.104132817,1
45,c6dt04433f2_FSR_pacman,1.50546,6.07369,7.71796,3618.74,0.52562,0.349142,9826.432,0.103480309,1
304,oc7b00328_si_004_FSR_pacman,1.44748,3.79468,5.55687,3451.03,0.52216,0.360737,3672.004,0.102644728,1
283,ja9b02417_si_002_FSR_pacman,1.14816,3.94924,7.29896,3685.65,0.57376,0.499721,1820.214,0.102071979,1
62,c7sc00449d2_6_FSR_pacman,1.54282,6.21393,7.50982,2849.2,0.5254,0.340546,3671.622,0.101695702,1
103,c8tc03356k2_2_FSR_pacman,1.50881,2.49377,4.44347,3427.22,0.46842,0.310456,2278.522,0.101513471,1
244,ja512137t_si_002_3_FSR_pacman,1.05929,3.45409,8.74664,3857.66,0.59122,0.558131,2353.884,0.10144816,1
