Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_core,label_core
1284,2023[Zn][nan]3[ASR]13,1.51073,2.30931,4.46718,4462.1,0.4088,0.270597,2909.34,0.2021105741988123,-1
47,2008[Co][sql]2[ASR]1,1.5197,2.42717,4.78145,4256.24,0.3961,0.260643,2113.08,0.20200474895702158,-1
1157,2022[Co][gra]3[ASR]1,1.29727,2.17637,5.07114,4526.67,0.4473,0.3448,3940.42,0.2011608323045353,-1
1312,2024[Cu][pcu]3[ASR]2,1.42371,2.33203,4.03129,4418.23,0.4097,0.287768,5405.472,0.20067811129099966,-1
163,2015[Pr][hcb]2[ASR]1,1.51409,2.32829,4.47729,4280.67,0.4114,0.271715,3479.512,0.2004248106188642,-1
481,2018[Co][flu]3[ASR]1,1.35477,2.80323,4.4469,4347.99,0.4299,0.317323,916.598,0.19989587216243043,-1
1283,2023[Zn][nan]3[ASR]12,1.49396,3.25741,4.90141,4405.24,0.4139,0.277049,3293.476,0.19842772317017232,-1
236,2016[Co][sql]2[ASR]4,1.46846,3.14529,4.81235,4439.71,0.3852,0.262316,964.704,0.1977881024889716,-1
224,2016[Co][sql]2[ASR]21,1.36322,3.01481,4.29817,4294.29,0.4195,0.307726,335.225,0.1976719824433124,-1
31,2004[Cu][mog]3[ASR]2,1.38697,2.64467,4.89477,4492.29,0.4501,0.32452,5687.616,0.1974951922233923,-1
317,2017[CoFe][nan]2[ASR]1,1.35961,3.02238,4.56264,4437.54,0.4426,0.325534,7794.528,0.19623434156227737,-1
1241,2023[Eu][mog]3[ASR]1,1.49898,2.63463,5.13688,4078.23,0.4154,0.277123,1306.876,0.1961398154805052,-1
272,2016[Zn][nan]2[ASR]1,1.55981,2.28398,3.76708,4467.36,0.3968,0.25439,1398.524,0.19612310488054296,-1
1153,2022[Cd][sql]2[ASR]1,1.33111,2.36851,5.68434,4557.86,0.4663,0.35031,1237.776,0.1961195123542081,-1
1144,2021[Zn][tfz]3[ASR]1,1.2956,3.47141,6.98314,4522.24,0.471,0.363539,3381.066,0.19604100078167241,-1
334,2017[Co][pcu]3[ASR]2,1.36161,2.5634,4.11424,4276.16,0.4324,0.317565,3145.952,0.19525933549269814,-1
851,2020[CuSi][pcu]2[ASR]2,1.40902,2.27821,3.71461,4546.63,0.4184,0.296944,1196.028,0.19447699151592412,-1
1028,2021[Cd][pcu]3[ASR]3,1.44002,2.86341,5.2984,4270.74,0.4605,0.319788,4102.144,0.19442557802972527,-1
221,2016[Co][sql]2[ASR]19,1.32951,3.2418,4.26185,4379.43,0.4328,0.325532,335.225,0.194388653074425,-1
401,2017[PdFe][sql]2[ASR]1,1.49245,2.98008,4.46175,4580.51,0.4036,0.270428,4034.392,0.19425923482950647,-1
471,2018[Cd][nan]3[ASR]5,1.33995,3.6545,5.99886,4356.18,0.4668,0.348371,1474.2,0.1942411615289268,-1
817,2020[Co][hex]3[ASR]1,1.29389,3.73957,5.52498,4396.47,0.4573,0.35343,1746.045,0.1937239890585436,-1
1311,2024[Cu][pcu]3[ASR]1,1.43071,2.66571,3.65033,4441.02,0.4185,0.292512,2702.736,0.19371598085696795,-1
643,2019[Cu][sql]2[ASR]2,1.35179,2.72311,4.90648,4692.81,0.4254,0.314693,1252.08,0.19339570155972363,-1
695,2019[Mn][fsc]3[ASR]1,1.29793,3.12646,4.44247,4568.25,0.4371,0.336766,856.572,0.19338180723070586,-1
402,2017[PdFe][sql]2[ASR]2,1.48934,3.01708,4.37433,4596.57,0.402,0.269919,4034.392,0.19244174198181585,-1
1336,2024[Zn][bnn]3[ASR]1,1.32296,3.07198,4.63543,4350.22,0.4568,0.345287,765.36,0.19235245486908714,-1
503,2018[Cu][nan]3[ASR]7,1.53594,3.17778,4.3312,4240.48,0.4091,0.266351,1391.092,0.1922274970943192,-1
502,2018[Cu][nan]3[ASR]6,1.5408,3.17251,4.34342,4228.16,0.4071,0.264213,1391.092,0.19198796491101522,-1
1021,2021[Cd][hcb]2[ASR]1,1.27175,3.56763,7.27924,4446.33,0.4909,0.386004,1582.288,0.19191198917791863,-1
584,2019[Cd][sql]2[ASR]2,1.42845,3.57123,5.17907,4540.5,0.436,0.305226,1189.732,0.19188878439389834,-1
737,2019[Zn][dia]3[ASR]2,1.37884,2.93609,4.07211,4591.63,0.4248,0.308086,921.508,0.19174917906531097,-1
987,2020[Zn][nan]3[ASR]4,1.3228,2.45694,5.14255,4644.62,0.4579,0.34616,4719.052,0.19171039821760294,-1
