Serial,Name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svm,label_svm
1214,2022[Zr][lvt]3[ASR]1,1.0669,6.93493,9.83426,2836.58,0.6733,0.631079,5783.264,1.4364099716081666,1
774,2019[Zr][bcu]3[ASR]2,0.952429,8.95756,11.33088,3021.69,0.685,0.719214,1532.04,1.4249289909208709,1
21,0000[Lu][lcy]3[ASR]1,0.89958,7.28263,13.22023,3152.69,0.7283,0.8096,13758.368,1.4214433401501296,1
263,2016[Tb][fcu]3[ASR]1,0.804274,6.94679,13.37735,3094.29,0.741,0.921327,2530.89,1.4090274815043942,1
1335,2024[Tb][tfz]3[ASR]1,1.01079,8.8743,9.7381,2791.54,0.7059,0.698364,4693.076,1.4015657497851064,1
281,2017[Ag][sqc]3[ASR]1,1.14094,8.15582,10.30618,3098.2,0.6714,0.58846,2017.8,1.3934378327342585,1
1078,2021[Eu][fcu]3[ASR]2,0.789282,7.21484,14.75035,3040.2,0.7609,0.964041,2504.772,1.3926220892026249,1
130,2014[Zn][pcu]3[ASR]10,0.995074,5.19047,10.8089,3092.39,0.7277,0.731302,1215.47,1.3888412211608119,1
1178,2022[In][nan]3[ASR]1,1.31584,6.47311,6.99137,2719.88,0.655,0.497781,975.46,1.3828056077745179,1
280,2017[Ag][sqc]2[ASR]1,1.11653,9.25829,10.88694,3121.04,0.6651,0.595683,1008.9,1.3810333720539967,1
1179,2022[In][nan]3[ASR]2,1.31754,6.47203,6.98033,2723.74,0.6473,0.491293,975.46,1.3804980486612923,1
115,2014[Cu][tbo]3[ASR]3,0.886331,6.79616,13.28651,3295.67,0.7186,0.810758,2419.488,1.375761012870594,1
884,2020[Cu][tbo]3[ASR]3,0.887233,6.78569,13.27585,3295.08,0.718,0.809257,2419.488,1.3757519701578245,1
1087,2021[Hf][sqc]3[ASR]1,1.13298,6.99108,9.19603,2551.58,0.695,0.613427,4639.936,1.3736215566300995,1
647,2019[Cu][tbo]3[ASR]2,0.886546,6.78058,13.28372,3301.42,0.7177,0.809547,2419.488,1.373192874563413,1
1009,2020[Zr][hex]3[ASR]1,1.10193,5.53626,8.89938,2956.61,0.6386,0.579527,3320.064,1.3721674148151661,1
15,0000[Er][lcy]3[ASR]1,0.840959,7.45164,13.4706,3315.52,0.7338,0.872575,8159.424,1.3711914814371604,1
116,2014[Cu][tbo]3[ASR]4,0.882932,6.80767,13.2781,3311.71,0.7198,0.815238,9677.952,1.3693858561269572,1
1249,2023[Hf][hcp]3[ASR]1,0.837949,8.99991,15.48228,2813.47,0.7588,0.905544,9772.188,1.368289649069694,1
1112,2021[Th][fcu]3[ASR]1,0.901998,7.11938,13.67888,2709.38,0.7526,0.83437,1569.276,1.3677777534326372,1
14,0000[Cu][tbo]3[ASR]2,0.888494,6.65523,13.20142,3310.85,0.7192,0.80946,9677.952,1.3671186031821543,1
269,2016[Zn][fgl]3[ASR]1,1.33966,8.63635,9.32756,2951.3,0.6255,0.466909,1949.148,1.3623469903165035,1
911,2020[In][hcb]2[ASR]1,1.03046,7.14786,8.42452,3124.74,0.6954,0.674843,850.522,1.3608581984519266,1
648,2019[Cu][tbo]3[ASR]3,0.883033,6.76269,13.18078,3328.13,0.7177,0.812767,2419.488,1.360677323464666,1
117,2014[Cu][tbo]3[ASR]5,0.885,6.71145,13.18974,3327.91,0.7191,0.812542,9677.952,1.3605077662011327,1
257,2016[Mn][nan]3[ASR]1,1.02928,11.0617,12.01682,2730.03,0.668,0.648998,2016.576,1.3596152415950797,1
646,2019[Cu][tbo]3[ASR]1,0.886045,6.68715,13.15744,3330.13,0.7168,0.808989,2419.488,1.358487652887355,1
885,2020[Cu][tbo]3[ASR]4,0.881994,6.70666,13.18109,3342.28,0.7176,0.813611,2419.488,1.3536197252636888,1
118,2014[Cu][tbo]3[ASR]6,0.878777,6.78455,13.20057,3346.27,0.7208,0.820231,9677.952,1.3536099360988805,1
887,2020[Cu][tbo]3[ASR]6,0.881994,6.70647,13.18091,3347.26,0.7208,0.817239,2419.488,1.3520607188826712,1
886,2020[Cu][tbo]3[ASR]5,0.881994,6.70666,13.18109,3349.02,0.7176,0.813611,2419.488,1.3506304182367952,1
883,2020[Cu][tbo]3[ASR]2,0.878222,6.75663,13.21587,3353.72,0.7206,0.820522,2419.488,1.3500147314812585,1
1192,2022[Tb][umc]3[ASR]1,1.20491,4.56506,7.19243,2901.56,0.6616,0.549087,1464.168,1.3499253617248097,1
1125,2021[Zn][nan]3[ASR]1,1.21914,10.83931,11.62733,2677.51,0.6633,0.544071,974.574,1.3497603233357995,1
979,2020[Zn][nan]3[ASR]16,1.2148,11.00713,11.71958,2699.02,0.6697,0.551283,974.574,1.3496199782088452,1
1131,2021[Zn][nan]3[ASR]2,1.21695,10.87758,11.64853,2679.28,0.6618,0.543818,974.574,1.3488703071223722,1
882,2020[Cu][tbo]3[ASR]1,0.868078,6.78307,13.27801,3376.38,0.722,0.831723,2419.488,1.3402413998461191,1
1256,2023[Mn][nan]3[ASR]1,0.84824,12.38999,12.59668,3096.41,0.7047,0.830779,1224.162,1.3372591123079238,1
773,2019[Zr][bcu]3[ASR]1,0.728995,8.944,11.00215,2971.97,0.768,1.05351,1532.04,1.3320076955993316,1
708,2019[Ni][nan]3[ASR]3,1.20772,10.80261,11.52538,2612.72,0.6486,0.537043,934.452,1.331319374780064,1
1255,2023[La][pts]3[ASR]1,1.21149,7.50315,8.08695,3001.63,0.6208,0.512427,870.198,1.3271849184288735,1
706,2019[Ni][nan]3[ASR]1,1.19871,10.96497,11.60677,2614.7,0.6518,0.543751,934.452,1.3266465788622,1
487,2018[Co][nan]3[ASR]6,1.17315,10.10911,11.06432,2528.58,0.6375,0.543408,935.892,1.326208282510561,1
246,2016[Cu][nan]3[ASR]4,1.39796,6.61688,9.02855,3059.44,0.6292,0.450085,8529.528,1.3249234424897505,1
247,2016[Cu][nan]3[ASR]5,1.40015,6.66192,9.05479,3068.52,0.6314,0.450951,8529.528,1.3247743661861717,1
488,2018[Co][nan]3[ASR]7,1.18395,9.95624,11.06071,2494.74,0.648,0.547321,935.892,1.3193299120528565,1
485,2018[Co][nan]3[ASR]4,1.18395,9.96153,11.0634,2494.01,0.6482,0.547489,935.892,1.318866148801015,1
484,2018[Co][nan]3[ASR]3,1.18457,9.86058,10.9929,2485.51,0.6448,0.544334,935.892,1.318672168091478,1
486,2018[Co][nan]3[ASR]5,1.18386,9.96065,11.06314,2489.21,0.6482,0.547533,935.892,1.3169854884958956,1
1372,2024[Zr][flu]3[ASR]1,0.850103,5.39536,8.48729,3183.75,0.721,0.848133,3536.496,1.316469462555398,1
547,2018[Zr][bcu]3[ASR]1,0.822188,8.44133,10.26406,2698.64,0.7616,0.926309,1235.712,1.3160014102982833,1
323,2017[Co][nan]3[ASR]14,1.19054,9.9543,10.9968,2483.93,0.6428,0.539921,935.892,1.314787734591838,1
1015,2020[Zr][sqc]3[ASR]2,0.852953,7.14182,9.29295,3279.54,0.7044,0.825837,3576.616,1.314078610761716,1
