Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
23,2017[Ag][nan]2[ION]1,1.16268,12.60572,15.22274,4120.67,0.58414,0.50241,4996.144,0.46323641
24,2017[Ag][nan]2[ION]2,1.07134,12.4101,15.0451,4092.47,0.61478,0.573842,4399.468,0.459736629
25,2017[Ag][nan]2[ION]3,1.14369,12.49997,15.09274,4147.83,0.58488,0.511397,4667.788,0.45970282
42,2018[Zn][nan]2[ION]1,0.898567,13.2849,13.76472,5006.85,0.60524,0.673562,4387.196,0.402087845
11,2015[Zn][hww]3[ION]1,0.860339,8.30648,9.45178,4054.92,0.6893,0.801196,3888.4,0.397485515
96,2023[Cu][pts]3[ION]1,0.604281,7.54284,10.0776,5081.72,0.73194,1.21126,1990.048,0.396564024
12,2015[Zn][hww]3[ION]2,0.861385,8.41653,8.93966,4111.98,0.68134,0.790982,3988.52,0.393879788
16,2015[Zn][hwx]3[ION]1,0.841511,8.50309,8.98014,4147.28,0.69634,0.827487,3796.344,0.392282489
14,2015[Zn][hww]3[ION]4,0.708452,10.97379,12.38306,4108.57,0.74206,1.04744,4332.72,0.379768235
93,2022[Zn][nan]3[ION]1,1.26974,7.97967,8.99955,3848.69,0.57916,0.456123,1591.852,0.379096627
15,2015[Zn][hww]3[ION]5,0.68985,11.81293,12.33521,4173.96,0.74628,1.0818,4384.796,0.374936531
90,2022[CuSi][ith]3[ION]1,0.993357,2.63507,11.42007,4324.67,0.61038,0.614462,3051.516,0.373888904
13,2015[Zn][hww]3[ION]3,0.722395,5.323,7.27167,4109.5,0.74062,1.02523,4232.6,0.369634489
92,2022[Zn][hcb]2[ION]1,0.833075,5.92533,8.66654,5483.34,0.63584,0.763245,3221.856,0.361156728
32,2017[Zn][nan]3[ION]2,1.08273,7.34383,8.29053,4182.1,0.59972,0.553896,2795.468,0.36100415
65,2019[Tb][she]3[ION]1,0.595012,8.51123,20.86689,3810.29,0.79738,1.34011,14806.32,0.345544323
97,2023[GaNi][cds]3[ION]1,0.854661,5.11275,7.93398,4801.3,0.62918,0.736175,8470.52,0.342365502
2,2013[ZnTi][pcu]3[ION]1,1.17477,5.81049,7.21479,3801.77,0.5882,0.500695,3366.312,0.335982388
100,2024[Cd][hcb]2[ION]1,0.932106,3.675,6.53373,5102.82,0.63438,0.680588,1850.98,0.329439517
