Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
580,c6ce00407e7_ASR_pacman,0.207465,15.95479,33.68342,4888.62,0.90886,4.3808,10846.176,0.900351207
581,c6ce00407e7_FSR_pacman,0.207465,15.95479,33.68342,4888.62,0.90886,4.3808,10846.176,0.900351207
1664,cm9b00960_si_001_ASR_pacman,0.86678,28.07721,29.49494,2340.83,0.78458,0.905166,8074.607,0.816163699
1665,cm9b00960_si_001_FSR_pacman,0.886315,28.07721,29.49494,2391.77,0.7767,0.876325,8266.595,0.810391299
407,an9b00188_si_002_ASR_pacman,0.875091,28.16268,28.89451,2436.33,0.78464,0.896638,5161.874,0.801333533
1697,cs0c01844_si_003_FSR_pacman,1.07827,25.58259,28.66758,2215.21,0.75346,0.698765,8420.014,0.796758783
1696,cs0c01844_si_003_ASR_pacman,0.970229,25.58259,28.66758,2295.11,0.76498,0.788453,8361.321,0.790794211
408,an9b00188_si_002_FSR_pacman,0.901599,28.16269,28.89451,2520.04,0.77238,0.856677,5449.856,0.788283068
1694,cs0c01844_si_002_ASR_pacman,0.676345,29.08474,30.63652,2453.71,0.82198,1.21533,7856.883,0.787047368
1632,cm0c02277_si_001_FSR_pacman,0.165664,16.12488,33.84988,4269.37,0.9374,5.65845,7610.509,0.754997575
1631,cm0c02277_si_001_ASR_pacman,0.165664,16.12488,33.84988,4269.37,0.9374,5.65845,7610.509,0.754997575
3309,ja8b00605_si_002_FSR_pacman,0.746302,27.51098,29.2185,2644.41,0.78942,1.05778,6695.37,0.741207509
1388,c9ce02034a2_ASR_pacman,1.40102,24.51384,26.84407,1533.93,0.76978,0.549444,6497.895,0.727113061
1389,c9ce02034a2_FSR_pacman,1.40102,24.51384,26.84407,1533.93,0.76978,0.549444,6497.895,0.727113061
1718,cs8b02921_si_003_FSR_pacman,0.83434,23.24974,29.10912,2533.73,0.76902,0.92171,6642.196,0.715164671
1717,cs8b02921_si_003_ASR_pacman,0.83434,23.24974,29.10912,2533.73,0.76902,0.92171,6642.196,0.715164671
1700,cs0c01844_si_005_ASR_pacman,0.884343,26.40351,28.34486,2778.37,0.7503,0.848427,6897.176,0.707351556
1715,cs8b02921_si_002_ASR_pacman,0.760451,23.96243,29.18218,2576.86,0.79202,1.04151,6561.891,0.706583909
2874,ja0c10367_si_003_ASR_pacman,0.634898,29.24165,29.81015,2745.12,0.81732,1.28732,6417,0.705513469
2875,ja0c10367_si_003_FSR_pacman,0.649109,28.64764,29.73035,2755.92,0.81204,1.25101,6608.988,0.701313039
3365,ja8b05890_si_005_FSR_pacman,0.75437,22.89902,25.18972,2298.48,0.80376,1.06547,2883.882,0.699997049
3364,ja8b05890_si_005_ASR_pacman,0.75437,22.89902,25.18972,2298.48,0.80376,1.06547,2883.882,0.699997049
1701,cs0c01844_si_005_FSR_pacman,0.903574,26.40351,28.34486,2848.86,0.74192,0.821095,6913.175,0.690128234
2873,ja0c10367_si_001_FSR_pacman,0.634237,27.25099,29.31643,2757.88,0.8085,1.27476,6705.076,0.682007687
2872,ja0c10367_si_001_ASR_pacman,0.634237,27.25099,29.31643,2757.88,0.8085,1.27476,6705.076,0.682007687
3560,ja9b07700_si_002_FSR_pacman,0.998951,21.03982,23.05854,1988.87,0.719,0.719755,5422.359,0.680073551
3559,ja9b07700_si_002_ASR_pacman,0.96392,21.03981,23.05854,1969.83,0.73022,0.757552,5230.371,0.679070108
3561,ja9b07700_si_003_ASR_pacman,1.1966,20.90923,23.12938,1729.03,0.71872,0.600635,6505.584,0.665480095
3562,ja9b07700_si_003_FSR_pacman,1.1966,20.90923,23.12938,1729.03,0.71872,0.600635,6505.584,0.665480095
1716,cs8b02921_si_002_FSR_pacman,0.832529,23.96243,27.66827,2786.3,0.76612,0.920232,6705.882,0.661485475
1698,cs0c01844_si_004_ASR_pacman,0.631957,25.82106,29.52403,2849.48,0.81204,1.28496,6695.276,0.632671309
1699,cs0c01844_si_004_FSR_pacman,0.631957,25.82106,29.52403,2849.48,0.81204,1.28496,6695.276,0.632671309
3197,ja7b02272_si_016_ASR_pacman,1.37244,21.67249,23.97346,2939.26,0.63012,0.459125,18364.104,0.629707034
3198,ja7b02272_si_016_FSR_pacman,1.37244,21.67249,23.97346,2939.26,0.63012,0.459125,18364.104,0.629707034
3347,ja8b05107_si_002_1_FSR_pacman,0.748359,24.12545,26.20211,2917.42,0.76442,1.02146,6917.061,0.609771064
3346,ja8b05107_si_002_1_ASR_pacman,0.748359,24.12545,26.20211,2917.42,0.76442,1.02146,6917.061,0.609771064
574,c6ce00407e11_ASR_pacman,0.23071,12.08584,14.17413,5581.71,0.89116,3.86268,1128.11,0.601437935
575,c6ce00407e11_FSR_pacman,0.23071,12.08584,14.17413,5581.71,0.89116,3.86268,1128.11,0.601437935
1251,c8sc04220a2_2_ASR_pacman,0.659046,27.96122,29.46683,3075.11,0.78942,1.19782,6527.841,0.593983201
1252,c8sc04220a2_2_FSR_pacman,0.678323,27.96122,29.46683,3124.04,0.78166,1.15234,6719.829,0.58281417
3431,ja8b11230_si_002_ASR_pacman,0.333391,28.77217,31.23988,2384.99,0.91688,2.75016,6947.784,0.576007363
322,am8b02825_si_002_ASR_pacman,0.56025,28.56158,29.9959,3076.43,0.8144,1.45364,6877.23,0.565322794
2908,ja403810k_si_003_ASR_pacman,0.252736,26.27887,31.39937,4314.89,0.90478,3.57994,32410.728,0.560499069
2909,ja403810k_si_003_FSR_pacman,0.252736,26.27887,31.39937,4314.89,0.90478,3.57994,32410.728,0.560499069
323,am8b02825_si_002_FSR_pacman,0.574681,28.03073,29.31556,3099.62,0.80912,1.40795,7069.218,0.556161495
2852,ja0c07081_si_004_ASR_pacman,0.791145,16.17958,22.3583,2092.26,0.78832,0.996429,3702.272,0.555073861
2273,d2cc06945h2_1_ASR_pacman,1.05992,13.40436,23.68465,2201.98,0.74146,0.699541,17397.768,0.553631209
2274,d2cc06945h2_1_FSR_pacman,1.05992,13.40436,23.68465,2201.98,0.74146,0.699541,17397.768,0.553631209
409,an9b00188_si_003_ASR_pacman,1.26426,15.8216,17.30675,2676.4,0.66174,0.52342,9316.125,0.547900348
3254,ja7b06197_si_003_FSR_pacman,1.02626,17.4678,18.08664,2013.02,0.76334,0.743811,4159.764,0.547470611
