Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_svr
219,el9b00088_si_004_FSR_pacman,1.04553,17.57553,19.17744,3705.47,0.62762,0.600291,11566.314,0.4917269
309,sc8b05524_si_002_ASR_pacman,0.550707,24.42917,29.55575,3155.22,0.81018,1.47116,7339.26,0.490192638
218,el9b00088_si_004_ASR_pacman,0.902144,17.57553,19.17744,3273.63,0.7062,0.782802,9980.118,0.478829003
264,ja7b08347_si_005_FSR_pacman,0.346669,8.66056,28.66527,4222.04,0.86894,2.50654,24358.88,0.463573059
263,ja7b08347_si_005_ASR_pacman,0.346669,8.66056,28.66527,4222.04,0.86894,2.50654,24358.88,0.463573059
197,d2cc01506d2_FSR_pacman,1.17769,11.29129,11.80907,3560.49,0.58126,0.493557,3466.14,0.456787004
196,d2cc01506d2_ASR_pacman,1.03079,11.04548,11.54282,3528.69,0.64482,0.625558,3033.78,0.447494998
12,am8b14118_si_002_ASR_pacman,0.959496,2.76751,13.39714,3571.16,0.65248,0.680024,4623.108,0.444063912
13,am8b14118_si_002_FSR_pacman,0.959496,2.76751,13.39714,3571.16,0.65248,0.680024,4623.108,0.444063912
254,ja7b04532_si_002_FSR_pacman,0.996126,7.37756,14.79124,2908.87,0.70926,0.712018,1985.016,0.44056351
51,c6sc03288e2_ASR_pacman,0.654077,10.73232,25.42076,2443.93,0.8347,1.27615,9929.568,0.431772304
286,ja9b04737_si_006_ASR_pacman,0.936069,13.88236,14.9114,2505.47,0.77016,0.82276,2530.12,0.430528638
287,ja9b04737_si_006_FSR_pacman,0.980555,13.44814,13.97389,2691.39,0.7489,0.763751,2786.104,0.427939171
39,c5dt03091a2_3_FSR_pacman,0.9378,7.21319,13.22023,3297.81,0.70628,0.753124,14342.912,0.427101066
146,cg501231v_si_001_ASR_pacman,0.779611,7.18296,17.41634,4567.26,0.6908,0.886083,30511.872,0.425796843
147,cg501231v_si_001_FSR_pacman,0.779611,7.18296,17.41634,4567.26,0.6908,0.886083,30511.872,0.425796843
38,c5dt03091a2_2_FSR_pacman,0.941723,7.05673,13.1277,3276.1,0.70936,0.753257,8743.968,0.424449779
302,la4012839_si_002_FSR_pacman,1.00441,5.4718,11.28097,3568.92,0.67674,0.673767,11301.888,0.421689337
301,la4012839_si_002_ASR_pacman,1.00441,5.4718,11.28097,3568.92,0.67674,0.673767,11301.888,0.421689337
164,cm501138g_si_007_FSR_pacman,0.961822,5.4089,11.15845,3770.38,0.678,0.704912,10542.672,0.416711203
37,c5dt03091a2_1_FSR_pacman,0.877341,7.45136,13.4706,3442.79,0.7207,0.821459,8743.968,0.415979969
165,cm501138g_si_008_FSR_pacman,0.964074,5.40299,11.0376,3777.13,0.67716,0.702394,10542.672,0.415453786
163,cm501138g_si_005_FSR_pacman,0.967881,5.37904,10.98656,3765.15,0.67666,0.699115,10542.672,0.415183596
129,c9qi01490j2_1_FSR_pacman,0.823086,9.93432,10.63033,4012.41,0.6858,0.833206,5401.836,0.407230371
128,c9qi01490j2_1_ASR_pacman,0.823086,9.93432,10.63033,4012.41,0.6858,0.833206,5401.836,0.407230371
222,ic5b00535_si_002_FSR_pacman,0.598191,5.59619,17.8828,4379.62,0.74584,1.24683,12631.2,0.407122312
221,ic5b00535_si_002_ASR_pacman,0.598191,5.59619,17.8828,4379.62,0.74584,1.24683,12631.2,0.407122312
21,c5cc10203k2_2_ASR_pacman,0.573018,7.17077,16.32685,4681.28,0.75092,1.31047,3198.216,0.402475737
22,c5cc10203k2_2_FSR_pacman,0.573018,7.17077,16.32685,4681.28,0.75092,1.31047,3198.216,0.402475737
246,ja7b00219_si_007_ASR_pacman,0.86138,8.04283,9.74012,3678.89,0.68712,0.797697,3271.704,0.401509447
247,ja7b00219_si_007_FSR_pacman,0.86138,8.04283,9.74012,3678.89,0.68712,0.797697,3271.704,0.401509447
25,c5cc10203k2_4_ASR_pacman,0.580972,7.16155,16.33091,4597.95,0.75104,1.29273,3198.216,0.39991528
26,c5cc10203k2_4_FSR_pacman,0.580972,7.16155,16.33091,4597.95,0.75104,1.29273,3198.216,0.39991528
245,ja6b01663_si_003_ASR_pacman,0.319125,19.64511,27.62636,4090.33,0.87054,2.7279,7047.384,0.397829758
23,c5cc10203k2_3_ASR_pacman,0.616132,6.79961,16.09688,4406.38,0.7496,1.21662,3198.216,0.397369649
24,c5cc10203k2_3_FSR_pacman,0.616132,6.79961,16.09688,4406.38,0.7496,1.21662,3198.216,0.397369649
28,c5cc10203k2_5_FSR_pacman,0.608079,6.94786,16.16992,4424.36,0.7499,1.23323,3471.888,0.396801813
27,c5cc10203k2_5_ASR_pacman,0.608079,6.94786,16.16992,4424.36,0.7499,1.23323,3471.888,0.396801813
127,c9nj05999g2_FSR_pacman,0.700561,6.27339,11.64886,4299.3,0.72452,1.0342,2644.98,0.39502876
256,ja7b04532_si_004_ASR_pacman,1.1582,5.76444,9.21345,3307.35,0.62602,0.54051,4820.128,0.393745231
259,ja7b04532_si_005_FSR_pacman,0.800323,8.1262,10.97432,3650.89,0.72094,0.900812,6642.184,0.393311509
308,sc8b04783_si_005_FSR_pacman,0.658979,5.4655,11.22564,4547.97,0.72672,1.1028,6473.49,0.393155647
307,sc8b04783_si_005_ASR_pacman,0.658979,5.4655,11.22564,4547.97,0.72672,1.1028,6473.49,0.393155647
86,c8dt00502h2_1_ASR_pacman,0.934706,6.40406,9.24152,4014.8,0.66054,0.706682,2468.464,0.392928894
87,c8dt00502h2_1_FSR_pacman,0.934706,6.40406,9.24152,4014.8,0.66054,0.706682,2468.464,0.392928894
220,ic502643m_si_008_ion_pacman,0.84467,7.00331,8.98627,3972.75,0.69468,0.822428,4432.84,0.390720796
253,ja7b04532_si_002_ASR_pacman,0.83887,7.37756,16.49393,2603.17,0.7771,0.926365,1473.048,0.390562221
130,c9sc00178f2_2_ASR_pacman,0.920894,4.46726,10.50192,4206.65,0.64496,0.700363,1912.65,0.390098818
131,c9sc00178f2_2_FSR_pacman,0.920894,4.46726,10.50192,4206.65,0.64496,0.700363,1912.65,0.390098818
177,d0ce01593h2_5_ASR_pacman,0.771514,6.51542,9.73283,4285.08,0.67736,0.877962,4569.906,0.389706348
216,d3ta04490d2_5_ASR_pacman,0.625695,8.01133,11.18633,4423.81,0.72378,1.15676,6253.704,0.388662127
217,d3ta04490d2_5_FSR_pacman,0.625695,8.01133,11.18633,4423.81,0.72378,1.15676,6253.704,0.388662127
295,ja9b10501_si_013_FSR_pacman,0.615117,7.02443,10.58922,4577.54,0.73168,1.1895,4507.8,0.388484089
294,ja9b10501_si_013_ASR_pacman,0.615117,7.02443,10.58922,4577.54,0.73168,1.1895,4507.8,0.388484089
292,ja9b10501_si_011_ASR_pacman,0.632645,6.87297,10.41078,4453.58,0.72454,1.14525,4523.576,0.387282051
293,ja9b10501_si_011_FSR_pacman,0.632645,6.87297,10.41078,4453.58,0.72454,1.14525,4523.576,0.387282051
69,c8cc02847h2_2_ASR_pacman,0.610439,5.04356,10.30451,4508.73,0.76068,1.24612,2507.888,0.385648123
70,c8cc02847h2_2_FSR_pacman,0.610439,5.04356,10.30451,4508.73,0.76068,1.24612,2507.888,0.385648123
192,d1qi00349f3_3_FSR_pacman,0.934367,6.3162,8.77465,4155.09,0.66016,0.706532,7040.112,0.384353826
67,c8cc02847h2_1_ASR_pacman,0.617909,5.04723,10.15649,4455.48,0.75946,1.22908,2507.888,0.383990143
68,c8cc02847h2_1_FSR_pacman,0.617909,5.04723,10.15649,4455.48,0.75946,1.22908,2507.888,0.383990143
11,am6b16264_si_002_ASR_pacman,0.723119,13.84408,14.93334,3535.18,0.74016,1.02357,3944.976,0.383936159
291,ja9b10501_si_009_FSR_pacman,0.661392,7.07753,9.69504,4273.62,0.72038,1.08919,4523.848,0.383899912
290,ja9b10501_si_009_ASR_pacman,0.661392,7.07753,9.69504,4273.62,0.72038,1.08919,4523.848,0.383899912
305,sc8b04783_si_002_FSR_pacman,0.603307,5.40588,11.90372,4248.26,0.75908,1.2582,5788.494,0.382076351
306,sc8b04783_si_003_FSR_pacman,0.623771,5.38751,11.75758,4170.59,0.75544,1.21109,6004.374,0.381831249
289,ja9b10501_si_003_FSR_pacman,0.580787,8.26545,9.71094,4524,0.7415,1.27672,4291.968,0.381800732
288,ja9b10501_si_003_ASR_pacman,0.580787,8.26545,9.71094,4524,0.7415,1.27672,4291.968,0.381800732
275,ja7b09973_si_002_5_FSR_pacman,0.685614,9.78977,12.89181,3795.74,0.73524,1.07238,2260.916,0.381647251
133,c9sc00178f2_8_FSR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.380990458
132,c9sc00178f2_8_ASR_pacman,0.94692,4.12327,10.08736,4228.86,0.63868,0.674481,1923.654,0.380990458
232,ja0c00805_si_002_FSR_pacman,0.618445,5.37125,12.07371,4065.94,0.75486,1.22058,5953.11,0.3798862
248,ja7b01559_si_002_FSR_pacman,0.595244,5.45549,11.90339,4149.32,0.75864,1.2745,5737.23,0.37835367
277,ja7b09973_si_002_9_FSR_pacman,0.728984,7.18753,10.00263,3635.08,0.7301,1.00153,2140.732,0.376761649
258,ja7b04532_si_005_ASR_pacman,0.759131,8.1262,10.97432,3544.89,0.74078,0.975827,6157.816,0.376290268
108,c9cc00692c2_2_ASR_pacman,1.04167,5.7308,7.58847,3335.2,0.6708,0.643966,3763.564,0.374401142
