Serial,name,Density,PLD,LCD,GSA,Void_Fraction,Pore_Volume,UnitCell_MW_g_mol,score_test,label_test
3648,jp6b04690_si_004_ion_pacman,1.42608,2.46277,5.45673,4465.42,0.42024,0.294681,11085.691,0.1558540575220534,1
1858,d0ce01172j2_2_FSR_pacman,1.36139,2.98097,5.94076,4465.29,0.43198,0.317308,1513.411,0.15514695728544858,1
1857,d0ce01172j2_2_ASR_pacman,1.36139,2.98097,5.94076,4465.29,0.43198,0.317308,1513.411,0.15514695728544858,1
2405,d3cc03374k2_FSR_pacman,1.34575,3.00118,7.31676,4311.67,0.46346,0.344388,60414.059,0.1533715139360895,1
1571,cg200120p_si_002_ASR_pacman,1.47114,2.22862,4.20392,4402.71,0.39968,0.27168,6543.948,0.1515617730225417,1
1606,cg800945m_si_002_ASR_pacman,1.51032,2.59112,4.75911,4356.28,0.38276,0.253429,8964.828,0.1513685276042348,1
463,c5ce02254a2_6_FSR_pacman,1.43066,2.6636,4.74378,4243.95,0.4171,0.291544,4475.864,0.15105989069862358,1
79,41557_2017_BFnchem2747_MOESM340_ESM_ion_pacman,1.54783,2.51529,5.39695,4255.07,0.43188,0.279024,2074.676,0.15101378154749512,1
1572,cg200120p_si_002_FSR_pacman,1.50105,2.22862,4.20392,4351.69,0.38948,0.259471,6688.068,0.15072027269806998,1
1607,cg800945m_si_002_FSR_pacman,1.51234,2.63399,4.81612,4237.19,0.4024,0.266077,8900.832,0.15064443974667951,1
1367,c9ce01529a2_2_FSR_pacman,1.37083,3.37841,5.20954,4397.72,0.43074,0.314218,5814.842,0.15026367089602877,1
2166,d1dt04175d2_1_ion_pacman,1.3718,1.98788,5.0954,4523.58,0.44538,0.324668,1841.736,0.15019825780949947,1
462,c5ce02254a2_6_ASR_pacman,1.38899,2.6636,4.74378,4270.36,0.43468,0.312947,4331.744,0.1499127053597863,1
1567,cg050585esi20051105_115011_FSR_pacman,1.4789,3.05883,4.98888,4300.59,0.42778,0.289256,1247.216,0.14956281848232245,1
761,c7ce01510k2_4_ASR_pacman,1.28942,2.71389,5.05861,4290.7,0.45264,0.351041,1092.856,0.14953874159552216,1
762,c7ce01510k2_4_FSR_pacman,1.28942,2.71389,5.05861,4290.7,0.45264,0.351041,1092.856,0.14953874159552216,1
620,c6nj02863b2_4_FSR_pacman,1.38616,2.38626,6.39562,4248.62,0.46832,0.337855,2260.866,0.1494196790561899,1
3396,ja8b07290_si_006_ion_pacman,1.39626,2.08886,4.78864,4426.28,0.44692,0.320083,2373.672,0.14898899648823305,1
429,c4dt02048k2_1_FSR_pacman,1.48917,3.23984,4.80202,4348.36,0.40282,0.270499,3943.032,0.148604616532941,1
1164,c8dt02983k2_1_ASR_pacman,1.61384,2.51006,6.60947,4072.6,0.41624,0.25792,7692.791,0.14858982889444416,1
1165,c8dt02983k2_1_FSR_pacman,1.61384,2.51006,6.60947,4072.6,0.41624,0.25792,7692.791,0.14858982889444416,1
1734,d0cc02420a2_3_FSR_pacman,1.31614,2.17313,5.604,4583.35,0.45802,0.348002,3270.2,0.1485808775318126,1
1332,c9ce00433e2_ASR_pacman,1.39235,2.71815,4.98064,4641.71,0.39884,0.286451,8406.176,0.14833605245042347,1
1333,c9ce00433e2_FSR_pacman,1.39235,2.71815,4.98064,4641.71,0.39884,0.286451,8406.176,0.14833605245042347,1
1217,c8qi01039k2_4_ion_pacman,1.55338,3.012,4.85237,4307.36,0.42338,0.272554,4267.02,0.14827029681068427,1
682,c7cc06074b5_8_FSR_pacman,1.42741,2.21913,3.9425,4522.27,0.4184,0.293119,2385.514,0.14794392409626445,1
681,c7cc06074b5_8_ASR_pacman,1.42741,2.21913,3.9425,4522.27,0.4184,0.293119,2385.514,0.14794392409626445,1
2419,d3ce00405h2_4_ion_pacman,1.35468,2.09774,5.71772,4648.87,0.44868,0.331209,6163.094,0.14777021563827486,1
1343,c9ce00988d2_4_ASR_pacman,1.39192,3.86845,6.23403,4407.85,0.42054,0.302129,3358.328,0.14764910923347496,1
832,c7dt03758a2_4_ASR_pacman,1.30802,2.44097,4.9472,4539.35,0.45546,0.348207,2151.028,0.14760956363340083,1
833,c7dt03758a2_4_FSR_pacman,1.30802,2.44097,4.9472,4539.35,0.45546,0.348207,2151.028,0.14760956363340083,1
2701,ic502478u_si_003_ASR_pacman,1.38197,3.70909,5.69951,4369.41,0.4437,0.321064,12878.136,0.1474329643824892,1
2702,ic502478u_si_003_FSR_pacman,1.38197,3.70909,5.69951,4369.41,0.4437,0.321064,12878.136,0.1474329643824892,1
751,c7ce01447c2_2_ASR_pacman,1.33163,3.33486,6.22985,4623.86,0.44478,0.334011,3726.192,0.14691933364206677,1
752,c7ce01447c2_2_FSR_pacman,1.33163,3.33486,6.22985,4623.86,0.44478,0.334011,3726.192,0.14691933364206677,1
428,c4dt02048k2_1_ASR_pacman,1.4363,3.43873,4.80202,4387.48,0.42616,0.296707,3798.912,0.14684702522799598,1
566,c6cc03026b2_1_FSR_pacman,1.28989,3.72378,4.85184,4395.45,0.4097,0.317625,1825.504,0.1467627640606073,1
565,c6cc03026b2_1_ASR_pacman,1.28989,3.72378,4.85184,4395.45,0.4097,0.317625,1825.504,0.1467627640606073,1
1344,c9ce00988d2_4_FSR_pacman,1.41898,3.86845,6.08104,4405.73,0.40964,0.288686,3430.388,0.14634506534033387,1
1888,d0dt00415d2_FSR_pacman,1.41782,3.33941,6.34695,3985.84,0.42448,0.29939,8342.368,0.14631932211131204,1
